x_over_c,Cp_alpha_-5.00,Cp_alpha_-4.00,Cp_alpha_-3.00,Cp_alpha_-2.00,Cp_alpha_-1.00,Cp_alpha_0.00,Cp_alpha_1.00,Cp_alpha_2.00,Cp_alpha_3.00,Cp_alpha_4.00,Cp_alpha_5.00,Cp_alpha_6.00,Cp_alpha_7.00,Cp_alpha_8.00,Cp_alpha_9.00,Cp_alpha_10.00
0.000227,-0.774286,-0.205779,0.253847,0.604032,0.844348,0.974504,0.994341,0.903834,0.703093,0.392365,-0.027974,-0.557412,-1.195301,-1.940867,-2.793200,-3.751262
0.000962,0.953764,0.999996,0.952099,0.810131,0.574264,0.244787,-0.177899,-0.693279,-1.300725,-1.999498,-2.788746,-3.667507,-4.634710,-5.689178,-6.829626,-8.054663
0.002205,0.357273,0.647550,0.851415,0.968621,0.999024,0.942588,0.799381,0.569578,0.253459,-0.148591,-0.636082,-1.208421,-1.864910,-2.604749,-3.427036,-4.330771
0.003956,0.958566,0.847956,0.668010,0.418948,0.101074,-0.285225,-0.739479,-1.261134,-1.849555,-2.504024,-3.223745,-4.007840,-4.855354,-5.765255,-6.736433,-7.767707
0.006214,0.868511,0.965062,0.999875,0.972909,0.884196,0.733844,0.522037,0.249032,-0.084838,-0.479166,-0.933472,-1.447202,-2.019730,-2.650359,-3.338320,-4.082776
0.008978,0.751376,0.571542,0.343394,0.067210,-0.256674,-0.627863,-1.045905,-1.510291,-2.020454,-2.575774,-3.175574,-3.819122,-4.505636,-5.234278,-6.004160,-6.814346
0.012246,0.998193,0.989024,0.936494,0.840667,0.701659,0.519640,0.294831,0.027507,-0.282007,-0.633333,-1.026044,-1.459662,-1.933657,-2.447453,-3.000423,-3.591894
0.016014,0.515187,0.315568,0.082100,-0.184933,-0.485204,-0.818349,-1.183961,-1.581595,-2.010767,-2.470953,-2.961594,-3.482090,-4.031809,-4.610080,-5.216198,-5.849426
0.020281,0.965416,0.903433,0.810390,0.686400,0.531615,0.346224,0.130451,-0.115440,-0.391149,-0.696341,-1.030643,-1.393649,-1.784917,-2.203968,-2.650294,-3.123350
0.025042,0.309502,0.111500,-0.110824,-0.357199,-0.627324,-0.920872,-1.237484,-1.576774,-1.938329,-2.321708,-2.726445,-3.152047,-3.597994,-4.063743,-4.548728,-5.052357
0.030294,0.875851,0.788669,0.678593,0.545758,0.390326,0.212485,0.012452,-0.209528,-0.453185,-0.718224,-1.004319,-1.311124,-1.638264,-1.985341,-2.351931,-2.737589
0.036031,0.141995,-0.046298,-0.252556,-0.476530,-0.717946,-0.976509,-1.251906,-1.543799,-1.851834,-2.175636,-2.514809,-2.868942,-3.237601,-3.620338,-4.016687,-4.426165
0.042249,0.772243,0.673986,0.558386,0.425585,0.275743,0.109045,-0.074307,-0.274090,-0.490061,-0.721956,-0.969492,-1.232368,-1.510264,-1.802842,-2.109744,-2.430597
0.048942,0.007026,-0.169063,-0.358750,-0.561804,-0.777977,-1.007006,-1.248611,-1.502499,-1.768361,-2.045871,-2.334693,-2.634473,-2.944848,-3.265439,-3.595855,-3.935693
0.056103,0.670797,0.568803,0.453361,0.324614,0.182717,0.027843,-0.139819,-0.320064,-0.512673,-0.717412,-0.934031,-1.162265,-1.401838,-1.652457,-1.913816,-2.185598
0.063726,-0.102449,-0.266084,-0.440215,-0.624630,-0.819104,-1.023399,-1.237268,-1.460450,-1.692672,-1.933651,-2.183095,-2.440700,-2.706150,-2.979124,-3.259288,-3.546301
0.071804,0.577229,0.475395,0.362936,0.239987,0.106700,-0.036763,-0.190229,-0.353509,-0.526405,-0.708707,-0.900191,-1.100625,-1.309765,-1.527355,-1.753131,-1.986818
0.080327,-0.192163,-0.343937,-0.503936,-0.671964,-0.847818,-1.031283,-1.222136,-1.420143,-1.625064,-1.836649,-2.054640,-2.278772,-2.508771,-2.744358,-2.985245,-3.231139
0.089289,0.493179,0.393609,0.285515,0.169030,0.044296,-0.088536,-0.229303,-0.377834,-0.533948,-0.697455,-0.868156,-1.045842,-1.230297,-1.421297,-1.618608,-1.821991
0.098680,-0.266321,-0.407092,-0.554380,-0.708005,-0.867780,-1.033510,-1.204993,-1.382020,-1.564377,-1.751839,-1.944180,-2.141165,-2.342554,-2.548101,-2.757556,-2.970663
0.108490,0.418737,0.322566,0.219479,0.109602,-0.006931,-0.129978,-0.259390,-0.395008,-0.536667,-0.684196,-0.837413,-0.996133,-1.160162,-1.329300,-1.503342,-1.682074
0.118710,-0.327923,-0.458582,-0.594441,-0.735336,-0.881094,-1.031538,-1.186484,-1.345745,-1.509125,-1.676426,-1.847445,-2.021971,-2.199794,-2.380696,-2.564457,-2.750853
0.129329,0.353442,0.261272,0.163442,0.060071,-0.048716,-0.162785,-0.281998,-0.406210,-0.535268,-0.669016,-0.807292,-0.949925,-1.096744,-1.247568,-1.402214,-1.560494
0.140336,-0.379111,-0.500489,-0.626034,-0.755592,-0.889007,-1.026115,-1.166749,-1.310738,-1.457906,-1.608075,-1.761062,-1.916679,-2.074737,-2.235045,-2.397405,-2.561622
0.151719,0.296682,0.208809,0.116275,0.019192,-0.082321,-0.188141,-0.298139,-0.412182,-0.530129,-0.651837,-0.777159,-0.905941,-1.038026,-1.173254,-1.311459,-1.452474
0.163467,-0.421437,-0.534282,-0.650466,-0.769850,-0.892286,-1.017627,-1.145718,-1.276406,-1.409529,-1.544926,-1.682431,-1.821879,-1.963097,-2.105915,-2.250159,-2.395652
0.175567,0.247835,0.164379,0.077069,-0.013990,-0.108686,-0.206903,-0.308523,-0.413421,-0.521470,-0.632537,-0.746489,-0.863184,-0.982483,-1.104238,-1.228303,-1.354525
0.188006,-0.456052,-0.561023,-0.668665,-0.778845,-0.891429,-1.006281,-1.123261,-1.242225,-1.363030,-1.485527,-1.609567,-1.735000,-1.861673,-1.989431,-2.118119,-2.247579
0.200772,0.206328,0.127301,0.045081,-0.040233,-0.128536,-0.219721,-0.313677,-0.410289,-0.509441,-0.611010,-0.714873,-0.820903,-0.928973,-1.038949,-1.150697,-1.264083
0.213849,-0.483834,-0.581514,-0.681313,-0.783111,-0.886782,-0.992202,-1.099241,-1.207770,-1.317655,-1.428763,-1.540958,-1.654105,-1.768065,-1.882699,-1.997867,-2.113430
0.227225,0.171643,0.096995,0.019701,-0.060146,-0.142447,-0.227104,-0.314012,-0.403067,-0.494158,-0.587176,-0.682007,-0.778536,-0.876645,-0.976214,-1.077122,-1.179246
0.240885,-0.505470,-0.596370,-0.688934,-0.783049,-0.878601,-0.975472,-1.073546,-1.172702,-1.272820,-1.373777,-1.475452,-1.577719,-1.680455,-1.783533,-1.886830,-1.990218
0.254814,0.143323,0.072966,0.000419,-0.074229,-0.150887,-0.229463,-0.309860,-0.391980,-0.475723,-0.560987,-0.647669,-0.735663,-0.824861,-0.915155,-1.006435,-1.098589
0.268997,-0.521502,-0.606076,-0.691932,-0.778967,-0.867074,-0.956147,-1.046076,-1.136751,-1.228064,-1.319901,-1.412152,-1.504703,-1.597443,-1.690258,-1.783035,-1.875660
0.283418,0.120977,0.054800,-0.013183,-0.082888,-0.154231,-0.227124,-0.301479,-0.377205,-0.454211,-0.532401,-0.611681,-0.691954,-0.773123,-0.855088,-0.937750,-1.021008
0.298063,-0.532343,-0.610992,-0.690604,-0.771082,-0.852327,-0.934241,-1.016724,-1.099675,-1.182993,-1.266577,-1.350325,-1.434135,-1.517905,-1.601532,-1.684915,-1.767953
0.312916,0.104296,0.042177,-0.021423,-0.086425,-0.152750,-0.220317,-0.289044,-0.358848,-0.429643,-0.501343,-0.573860,-0.647107,-0.720994,-0.795430,-0.870326,-0.945591
0.327959,-0.538257,-0.611338,-0.685110,-0.759485,-0.834371,-0.909677,-0.985312,-1.061183,-1.137197,-1.213263,-1.289288,-1.365178,-1.440842,-1.516188,-1.591122,-1.665555
0.343178,0.093107,0.034923,-0.024464,-0.084982,-0.146557,-0.209113,-0.272576,-0.336866,-0.401907,-0.467619,-0.533921,-0.600734,-0.667975,-0.735562,-0.803414,-0.871448
0.358555,-0.539240,-0.607059,-0.675340,-0.744001,-0.812957,-0.882125,-0.951419,-1.020756,-1.090052,-1.159221,-1.228180,-1.296844,-1.365130,-1.432955,-1.500236,-1.566891
0.374074,0.087577,0.033224,-0.022096,-0.078315,-0.135365,-0.193176,-0.251678,-0.310800,-0.370469,-0.430613,-0.491159,-0.552032,-0.613159,-0.674466,-0.735877,-0.797317
